"subset","n","mean","median","sd","min","max"
"all_all",83637,40419.8599508639,1458.37083333333,448732.203069693,0.00833333333333333,33375389.6940972
"all_trop",41004,24860.214490496,2082.06716460083,398211.360585489,0.00916666666666667,28385188.7495194
"all_temp",37896,61293.6902940066,973.298185958334,521465.655729749,0.00833333333333333,33375389.6940972
"inside_all",13658,14128.0258720252,2065.8703816218,70444.8910970164,0.00833333333333333,2858743.14224503
"inside_trop",1713,12890.3041646365,3291.04067222222,43836.4654140908,0.192777777777778,824944.183627778
"inside_temp",10930,14747.1712315215,2135.79873653889,76284.2359375988,0.00833333333333333,2858743.14224503
"outside_all",69979,45551.3118128334,1375.4875,489419.590209877,0.00833333333333333,33375389.6940972
"outside_trop",39291,25382.0758935703,2047.44416666667,406688.591512612,0.00916666666666667,28385188.7495194
"outside_temp",26966,80160.1685760271,720.489133333334,615269.392774313,0.00833333333333333,33375389.6940972
