"subset","n","mean","median","sd","min","max"
"all_all",6769277,24.5421360360643,25,8.93787927683472,1,63
"all_trop",3406408,25.9285255906068,26,7.24346200599853,1,59
"all_temp",3014962,25.2189291274704,25,8.5015786805199,1,63
"inside_all",901499,26.985714903699,29,9.56186459112136,1,62
"inside_trop",106699,30.6805218418175,31,7.38082991618215,1,56
"inside_temp",733092,28.1338372264362,29,8.13505939390796,1,62
"outside_all",5867778,24.1667155778068,25,8.77803446926895,1,63
"outside_trop",3299709,25.774865601778,26,7.186723536239,1,59
"outside_temp",2281870,24.282462191095,24,8.40411582928133,1,63
