"subset","n","mean","median","sd","min","max"
"all_all",6769277,24.5421360360643,25,8.93787927683472,1,63
"all_trop",3406408,25.9285255906068,26,7.24346200599853,1,59
"all_temp",3014962,25.2189291274704,25,8.5015786805199,1,63
"all_temp_north",1477656,24.9009911642711,25,9.84151905593901,1,57
"all_temp_south",1537306,25.5245305749174,24,6.96141997449765,1,63
"inside_all",901499,26.985714903699,29,9.56186459112136,1,62
"inside_trop",106699,30.6805218418175,31,7.38082991618215,1,56
"inside_temp",733092,28.1338372264362,29,8.13505939390796,1,62
"inside_temp_north",358069,26.0661883603553,26,7.5466561092822,1,57
"inside_temp_south",375023,30.1080120419482,32,8.18597036134342,2,62
"outside_all",5867778,24.1667155778068,25,8.77803446926895,1,63
"outside_trop",3299709,25.774865601778,26,7.186723536239,1,59
"outside_temp",2281870,24.282462191095,24,8.40411582928133,1,63
"outside_temp_north",1119587,24.5283350020824,25,10.442437210616,1,57
"outside_temp_south",1162283,24.045621419174,24,5.78884602426323,1,63
